[2022-09-29 21:03:24 +0000] [1] [INFO] Starting gunicorn 20.1.0
[2022-09-29 21:03:24 +0000] [1] [INFO] Listening at: http://0.0.0.0:8000 (1)
[2022-09-29 21:03:24 +0000] [1] [INFO] Using worker: sync
[2022-09-29 21:03:24 +0000] [7] [INFO] Booting worker with pid: 7
[2022-09-29 21:03:25 +0000] [8] [INFO] Booting worker with pid: 8
2022-09-29 21:03:47,349 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:47,382 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:47,410 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:47,442 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:47,474 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:47,502 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:47,531 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:47,570 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:47,598 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:47,637 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:48,158 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:48,186 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:48,216 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:48,245 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:48,274 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:48,306 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:48,335 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:48,363 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:48,395 | INFO | 8 | views.py:index:7 | hello
/opt/demo/.venv/lib/python3.9/site-packages/watchtower/__init__.py:345: WatchtowerWarning: Failed to deliver logs: None
  warnings.warn("Failed to deliver logs: {}".format(response), WatchtowerWarning)
2022-09-29 21:03:48,419 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:48,432 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:48,461 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:48,579 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:48,607 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:48,647 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:48,674 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:48,705 | INFO | 7 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:48,733 | INFO | 7 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:48,765 | INFO | 7 | views.py:index:7 | hello
2022-09-29 21:03:48,795 | INFO | 7 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:48,824 | INFO | 7 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:48,851 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:48,854 | INFO | 7 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:48,884 | INFO | 7 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:48,998 | INFO | 8 | views.py:index:9 | dummy log message 3
2022-09-29 21:03:49,028 | INFO | 8 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:49,060 | INFO | 8 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:49,089 | INFO | 8 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:49,120 | INFO | 8 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:49,146 | INFO | 8 | views.py:index:9 | dummy log message 8
2022-09-29 21:03:49,180 | INFO | 8 | views.py:index:9 | dummy log message 9
2022-09-29 21:03:49,217 | INFO | 8 | views.py:index:7 | hello
2022-09-29 21:03:49,251 | INFO | 8 | views.py:index:9 | dummy log message 0
2022-09-29 21:03:49,282 | INFO | 8 | views.py:index:9 | dummy log message 1
2022-09-29 21:03:49,315 | INFO | 8 | views.py:index:9 | dummy log message 2
2022-09-29 21:03:49,548 | INFO | 7 | views.py:index:9 | dummy log message 4
2022-09-29 21:03:49,587 | INFO | 7 | views.py:index:9 | dummy log message 5
2022-09-29 21:03:49,617 | INFO | 7 | views.py:index:9 | dummy log message 6
2022-09-29 21:03:49,647 | INFO | 7 | views.py:index:9 | dummy log message 7
2022-09-29 21:03:49,677 | INFO | 7 | views.py:index:9 | dummy log message 8
